ID_PRODUTO,NOME,MARCA,CATEGORIA,DATA_CADASTRO,DESCRICAO_PRODUTO,PRECO,ESTOQUE
39,Placa de Vídeo RTX 3070,NVIDIA,Hardware,2023-04-01,Placa de vídeo de alto desempenho,6899.00,5
40,Smartphone Motorola Edge,Motorola,Celular,2021-06-15,Smartphone com tela OLED e boa bateria,2999.00,35
50,Câmera Mirrorless Sony A7 III,Sony,Câmera,2022-11-12,Câmera mirrorless full-frame,7999.00,6
51,Tablet Amazon Fire HD,Amazon,Tablet,2020-12-05,Tablet acessível para leitura e mídia,999.00,45
52,Impressora 3D Creality,Creality,Impressora,2023-02-20,Impressora 3D para prototipagem,2399.90,8
53,SSD Externo Samsung T7,Samsung,Armazenamento,2021-08-30,SSD externo portátil e rápido,799.00,40
54,Mouse Bluetooth Logitech M720,Logitech,Periférico,2022-04-28,Mouse Bluetooth multi-dispositivo,249.90,55
55,Teclado Gamer Redragon,Kumara,Periférico,2021-05-16,Teclado mecânico RGB,399.00,40
56,Fone de Ouvido Beats Studio,Beats,Audio,2020-11-22,Fones com som de alta qualidade,1499.00,18
57,Notebook Lenovo ThinkPad,Lenovo,Notebook,2022-03-15,Notebook focado em negócios,4599.00,10
58,Monitor Asus TUF Gaming,Asus,Monitor,2023-01-10,Monitor gamer com taxa de atualização 165Hz,2599.00,20
59,Headset SteelSeries Arctis,SteelSeries,Audio,2021-07-07,Headset com microfone ClearCast,899.00,25
60,Placa de Vídeo Radeon RX 6600,AMD,Hardware,2023-03-18,Placa de vídeo para jogos 1080p,4299.00,12
61,Smartphone Xiaomi Redmi Note 11,Xiaomi,Celular,2023-02-15,Smartphone com boa câmera e bateria,1599.00,45
62,Notebook Asus VivoBook,Asus,Notebook,2022-06-20,Notebook fino e leve para uso diário,3299.00,18
63,"Monitor BenQ 27"",BenQ,Monitor,2021-11-05,Monitor com tecnologia Eye-Care,1999.00,22
64,Mouse Gamer HyperX Pulsefire,HyperX,Periférico,2022-01-12,Mouse gamer ergonômico e preciso,399.00,40
65,Teclado Mecânico Razer BlackWidow,Razer,Periférico,2020-08-23,Teclado mecânico com iluminação RGB,1099.00,28
66,Fone Bluetooth Jabra Elite 75t,Jabra,Audio,2021-09-10,Fones sem fio com som cristalino,899.00,35
67,Tablet Lenovo Tab P11,Lenovo,Tablet,2022-04-15,Tablet com tela grande e caneta opcional,2199.00,17
68,Smartwatch Fitbit Versa 3,Fitbit,Smartwatch,2021-12-05,Relógio fitness com GPS integrado,1299.00,26
69,Câmera GoPro Hero10,GoPro,Câmera,2022-10-10,Câmera de ação com alta resolução,2899.00,11
70,Impressora Brother HL-L2350DW,Brother,Impressora,2023-03-15,Impressora laser monocromática,849.00,20
71,SSD Samsung 970 EVO 1TB,Samsung,Armazenamento,2021-07-01,SSD NVMe rápido para PC,899.00,42
72,HD Externo WD 5TB,Western Digital,Armazenamento,2022-08-10,HD portátil com alta capacidade,1099.00,15
73,Cadeira Gamer Noblechairs, Noblechairs,Periférico,2023-01-22,Cadeira gamer premium com couro sintético,2699.00,12
74,"Monitor LG 32"",LG,Monitor,2022-09-18,Monitor grande com alta resolução,2899.00,20
75,Notebook Microsoft Surface Pro,Microsoft,Notebook,2021-11-30,Notebook conversível para tablet,7599.00,9
76,Teclado Sem Fio Logitech K380,Logitech,Periférico,2020-10-10,Teclado compacto para múltiplos dispositivos,299.00,35
77,Headset Turtle Beach Recon,Turtle Beach,Audio,2021-06-20,Headset gamer com som surround,599.00,28
78,Webcam Razer Kiyo,Razer,Periférico,2022-05-15,Webcam com anel de luz integrado,799.00,22
79,Placa de Vídeo RTX 3080,NVIDIA,Hardware,2023-04-01,Placa de vídeo top para gamers,10999.00,4
80,Smartphone OnePlus 9,OnePlus,Celular,2021-06-15,Smartphone com alta performance e câmera,3999.00,30
